Species,Species name in GBIF,Species and authority,Category,Use,Group,Location,No. of occurrences in GBIF,Authors,Title,Journal,Volume,Pages,Ist quartile,Median,3rd quartile,Notes
Alstonia boonei,Alstonia boonei,Alstonia boonei De Wild.,Health care,treating measles,Medicine: Infectious diseases,Asanti Region,117,"Appiah, K. S., Mardani, H. K., Osivand, A., Kpabitey, S., Amoatey, C. A., Oikawa, Y., & Fujii, Y. (2017)",Exploring Alternative Use of Medicinal Plants for Sustainable Weed Management,Sustainability,9(8),1468,1977,1979,1979,
Alstonia boonei,Alstonia boonei,Alstonia boonei De Wild. ,Health care,treating sexual disorder,Medicine: Infertility,Greater Accra Region,117,"Boadu, A. A., & Asase, A. (2017)",Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana,Evidence-Based Complementary and Alternative Medicine ,,2017,1977,1979,1979,
Alstonia boonei,Alstonia boonei,Alstonia boonei De Wild.,Health care,treating breast and skin cancer,Medicine: Cancer,Ashanti Region,117,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1977,1979,1979,
Alstonia boonei,Alstonia boonei,,Health care,treating skin ulcer,Medicine: Ulcer,Brong-Ahafo Region,117,"Henry, S. G., Francis, A., & Kofi, A. (2013)",Ethnobotanical survey of medicinal plants used for the treatment of diarrhoea and skin ulcer in the Brong Ahafo region of Ghana,Journal of Medicinal Plants Research ,7(44) ,3280-3285,1977,1979,1979,
Alstonia boonei,Alstonia boonei,Alstonia boonei De Wild.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,117,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,1977,1979,1979,
Alternanthera pungens,Alternanthera pungens,Alternanthera pungens Kunth.,Health care,treating stomach ulcer,Medicine: Ulcer,Greater Accra Region,45,"Boadu, A. A., & Asase, A. (2017)",Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana,Evidence-Based Complementary and Alternative Medicine ,,2017,1962,1988,1994,
Alternanthera sessilis,Alternanthera sessilis,Alternanthera sessilis (L.) R.Br. ex DC.,Health care,treating stomach cancer,Medicine: Cancer,Ashanti Region,94,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1954,1965,1966,
Amaranthus graecizans,Amaranthus graecizans,Amaranthus graecizans L.,Health care,treating brain cancer,Medicine: Cancer,Ashanti Region,17,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,NA,NA,NA,
Amaranthus hybridus,Amaranthus hybridus,Amaranthus hybridus L.,Health care,treating breast cancer,Medicine: Cancer,Ashanti Region,10,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,NA,NA,NA,
Amaranthus spinosus ,Amaranthus spinosus ,Amaranthus spinosus L.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,37,"Asase, A., & Asafo-Agyei, T. (2011)",Plants used for treatment of malaria in communities around the Bobiri forest reserve in Ghana,"Journal of herbs, spices & medicinal plants ",17(2) ,85-107,1957,1971,1995,
Amaranthus spinosus ,Amaranthus spinosus ,Amaranthus spinosus L.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,37,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,1957,1971,1995,
Amaranthus viridis,Amaranthus viridis,Amaranthus viridis L.,Health care,"treating prostate, breast, brain and stomach cancer",Medicine: Cancer,Ashanti Region,38,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1944,1958,1977,
Amphimas pterocarpoides,Amphimas pterocarpoides,Amphimas pterocarpoides Harms ,Health care,treating head cancer,Medicine: Cancer,Ashanti Region,22,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1970,1973,2003,
Anacardium occidentale,Anacardium occidentale,Anacardium occidentale L.,Health care,treating headache,Medicine: Somatic pains,Greater Accra Region,23,"Asase, A., & Kadera, M. L. (2014)",Herbal medicines for child healthcare from Ghana,Journal of Herbal Medicine,4(1),24-36,1966,1970,1977,
Anacardium occidentale,Anacardium occidentale,Anacardium occidentale L.,Health care,treating liver cancer,Medicine: Cancer,Ashanti Region,23,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1966,1970,1977,
Ananas comosus,Ananas comosus,Ananas comosus (L.) Merr.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,2,"Asase, A., & Asafo-Agyei, T. (2011)",Plants used for treatment of malaria in communities around the Bobiri forest reserve in Ghana,"Journal of herbs, spices & medicinal plants ",17(2) ,85-116,NA,NA,NA,
Ananas comosus,Ananas comosus,Ananas comosus Miller.,Health care,treating fevers,Medicine: Fever,Greater Accra Region,2,"Asase, A., & Kadera, M. L. (2014)",Herbal medicines for child healthcare from Ghana,Journal of Herbal Medicine,4(1),24-36,NA,NA,NA,
Ananas comosus,Ananas comosus,Ananas comosus (L.) Merr.,Health care,treating lung cancer,Medicine: Cancer,Ashanti Region,2,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,NA,NA,NA,
Ananas comosus,Ananas comosus,Ananas comosus L. Merr.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,2,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,NA,NA,NA,
Aningeria altissima,Pouteria altissima,Aningeria altissima (A.Chev.) Aubrév. & Pellegr.,Health care,used to arrest bleeding ,Medicine: Wound healing,Greater Accra Region,8,"Boadu, A. A., & Asase, A. (2017)",Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana,Evidence-Based Complementary and Alternative Medicine ,,2017,NA,NA,NA,
Annona muricata,Annona muricata,Annona muricata L.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,34,"Asase, A., & Asafo-Agyei, T. (2011)",Plants used for treatment of malaria in communities around the Bobiri forest reserve in Ghana,"Journal of herbs, spices & medicinal plants ",17(2) ,85-109,1937,1937,1937,
Annona muricata,Annona muricata,Annona muricata L. ,Health care,treating diabetes mellitus,Medicine: Diabetes,Greater Accra Region,34,"Asase, A., & Yohonu, D. T. (2016)",Ethnobotanical study of herbal medicines for management of diabetes mellitus in Dangme west district of Southern Ghana.,Journal of Herbal Medicine ,6(4),204-209,1937,1937,1937,
Annona muricata,Annona muricata,Annona muricata L.,Health care,treating stomach cancer,Medicine: Cancer,Ashanti Region,34,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1937,1937,1937,
Annona reticulata,Annona reticulata,Annona reticulata L.,Health care,treating stomach and prostate cancer,Medicine: Cancer,Ashanti Region,5,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,NA,NA,NA,
Annona senegalensis,Annona senegalensis,Annona senegalensis Pers.,Health care,"treating stomach, throat, skin and breast cancer",Medicine: Cancer,Ashanti Region,395,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1952,1953,1956,
Annona senegalensis,Annona senegalensis,"Annona senegalensis 
Pers.",Health care,treating skin rashes,Medicine: Infectious diseases,Upper West Region,395,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1952,1953,1956,
Annona senegalensis,Annona senegalensis,"Annona senegalensis 
Pers.",Construction,used as roofing materials,Building materials,Upper West Region,395,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1952,1953,1956,
Annona senegalensis,Annona senegalensis,"Annona senegalensis 
Pers.",Agriculture,fruits are taken as food,Food,Upper West Region,395,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1952,1953,1956,
Annona senegalensis,Annona senegalensis,Annona senegalensis L. ,Health care,treating swollen navel,Medicine: Infectious diseases,Upper West Region,395,"Wodah, D., & Asase, A. (2012)",Ethnopharmacological use of plants by Sisala traditional healers in northwest Ghana,Pharmaceutical biology ,50(7) ,807-815,1952,1953,1956,
Anogeissus leiocarpa,Terminalia leiocarpa,Anogeissus leiocarpa (DC.)  Guill. & Perr.,Health care,treating skin cancer,Medicine: Cancer,Ashanti Region,60,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1953,1994,1996,
Anogeissus leiocarpa,Terminalia leiocarpa,Anogeissus leiocarpa Guill. & Perr.,Health care,treating malaria,Medicine: Malaria,Upper West Region,60,"Asase, A., Oteng-Yeboah, A. A., Odamtten, G. T., & Simmonds, M. S. (2005)",Ethnobotanical study of some Ghanaian anti-malarial plants,Journal of Ethnopharmacology ,99(2) ,273-279,1953,1994,1996,
Anogeissus leiocarpus,None,Anogeissus leiocarpus (DC.) Guill. & Perr. ,Health care,treating wounds,Medicine: Wound healing,Volta Region,0,"Barku, V. Y., Opoku-Boahen, Y., & Dali, G. A. (2015)","Ethnobotanical study of wound healing plants in Kpando Traditional Area, Ghana",International Journal of Phytomedicine ,6(4) ,564-572,NA,NA,NA,
Anogeissus leiocarpus,None,"Anogeissus leiocarpus 
(DC.) Guill. & Perr.",Health care,treating malaria,Medicine: Malaria,Upper West Region,0,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,NA,NA,NA,
Anogeissus leiocarpus,None,"Anogeissus leiocarpus 
(DC.) Guill. & Perr.",Energy,used as fuel wood for cooking,Fuel,Upper West Region,0,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,NA,NA,NA,
Anogeissus leiocarpus,None,"Anogeissus leiocarpus 
(DC.) Guill. & Perr.",Construction,used for roofing buildings,Building materials,Upper West Region,0,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,NA,NA,NA,
Anogeissus leiocarpus,None,,Health care,treating diarrhoea,Medicine: Gastrointestinal disorders,Brong-Ahafo Region,0,"Henry, S. G., Francis, A., & Kofi, A. (2013)",Ethnobotanical survey of medicinal plants used for the treatment of diarrhoea and skin ulcer in the Brong Ahafo region of Ghana,Journal of Medicinal Plants Research ,7(44) ,3280-3285,NA,NA,NA,
Anthocleista nobilis ,Anthocleista nobilis ,Anthocleista nobilis G. Don ,Health care,treating malaria,Medicine: Malaria,Ashanti Region,43,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,1966,1995,1996,
Antiaris africana,Antiaris toxicaria,Antiaris africana Engl.,Health care,treating stomach upset,Medicine: Gastrointestinal disorders,Brong-Ahafo Region,27,"Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana",Journal of medicinal plants research ,2(9) ,226-233,NA,NA,NA,
Antiaris africana,Antiaris toxicaria,Antiaris africana Engl.,Health care,treating anaemia,Medicine: Nutrient deficiencies,Brong-Ahafo Region,27,"Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana",Journal of medicinal plants research ,2(9) ,226-233,NA,NA,NA,
Antiaris toxicaria,Antiaris toxicaria,Antiaris toxicaria Lesch.,Health care,treating breast cancer,Medicine: Cancer,Ashanti Region,57,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1970,1994,2001,
Antrocaryon micraster,Antrocaryon micraster,Antrocaryon micraster A. Chev. & Guillaum,Health care,treating chicken pox,Medicine: Infectious diseases,Brong-Ahafo Region,33,"Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana",Journal of medicinal plants research ,2(9) ,226-233,1964,1975,1985,
Arachis hypogaea ,Arachis hypogaea ,Arachis hypogaea L. ,Health care,treating skin cancer,Medicine: Cancer,Ashanti Region,276,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1982,1982,1982,
Arachis hypogaea ,Arachis hypogaea ,,Agriculture,used as protectants of stored grains,Post-harvest protectant,Ashanti Region,276,"Cobbinah, J. R., Moss, C., Golob, P., & Belmain, S. R. (1999)",Conducting ethnobotanical surveys: an example from Ghana on plants used for the protection of stored cereals and pulses ,(NRI Bulletin 77),,,1982,1982,1982,
Argemone mexicana ,Argemone mexicana ,Argemone mexicana L.,Health care,treating throat and breast cancer,Medicine: Cancer,Ashanti Region,14,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,2016,2016,2016,
Argemone mexicana ,Argemone mexicana ,Argemone mexicana L.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,14,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,NA,NA,NA,
